# Copyright (C) 2023  Intel Corporation. All rights reserved.
# Your use of Intel Corporation's design tools, logic functions 
# and other software and tools, and any partner logic 
# functions, and any output files from any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Intel Program License 
# Subscription Agreement, the Intel Quartus Prime License Agreement,
# the Intel FPGA IP License Agreement, or other applicable license
# agreement, including, without limitation, that your use is for
# the sole purpose of programming logic devices manufactured by
# Intel and sold by Intel or its authorized distributors.  Please
# refer to the applicable agreement for further details, at
# https://fpgasoftware.intel.com/eula.

# Quartus Prime Version 22.1std.2 Build 922 07/20/2023 SC Lite Edition
# File: \\Mac\AllFiles\Applications\CODESTUFF\StudyVHDL\EDABK\Homework\SevenSegmentLed\Quartus\SevenSegLed_PinAssigment.csv
# Generated on: Fri Mar  8 16:07:35 2024

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus Prime software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Slew Rate,Differential Pair,Strict Preservation
input[15],Input,PIN_AA22,5,B5_N2,PIN_AA22,2.5 V,,,,,
input[14],Input,PIN_AA23,5,B5_N2,PIN_AA23,2.5 V,,,,,
input[13],Input,PIN_AA24,5,B5_N2,PIN_AA24,2.5 V,,,,,
input[12],Input,PIN_AB23,5,B5_N2,PIN_AB23,2.5 V,,,,,
input[11],Input,PIN_AB24,5,B5_N2,PIN_AB24,2.5 V,,,,,
input[10],Input,PIN_AC24,5,B5_N2,PIN_AC24,2.5 V,,,,,
input[9],Input,PIN_AB25,5,B5_N1,PIN_AB25,2.5 V,,,,,
input[8],Input,PIN_AC25,5,B5_N2,PIN_AC25,2.5 V,,,,,
input[7],Input,PIN_AB26,5,B5_N1,PIN_AB26,2.5 V,,,,,
input[6],Input,PIN_AD26,5,B5_N2,PIN_AD26,2.5 V,,,,,
input[5],Input,PIN_AC26,5,B5_N2,PIN_AC26,2.5 V,,,,,
input[4],Input,PIN_AB27,5,B5_N1,PIN_AB27,2.5 V,,,,,
input[3],Input,PIN_AD27,5,B5_N2,PIN_AD27,2.5 V,,,,,
